City,Latitude,Longitude,Airports,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Atlanta,33.7544657,-84.3898151,"[Hartsfield - Jackson Atlanta International: ATL], [Dekalb-Peachtree: PDK]",45308407,46604273,49340732,50501858,50255223,51865797,53505795,20559866,36676010,45396001,50950068
New York,40.7127281,-74.0060152,"[John F Kennedy International: JFK], [LaGuardia: LGA]",38408627,39780300,42102293,44001744,44147956,45679270,46430256,12416935,23100649,41522348,46977428
Chicago,41.8755616,-87.6244212,"[Chicago O'Hare International: ORD], [Chicago Midway International: MDW]",42233481,44155422,47136518,48634286,49505102,50551945,50953004,18842637,34031593,42770755,46502624
Los Angeles,34.0536909,-118.242766,[Los Angeles International: LAX],32425892,34314197,36351272,39636042,41232432,42624050,42939104,14055777,23663410,32326616,40956673
Fort Worth,32.753177,-97.3327459,[Dallas-Fort Worth International: DFW],29038128,30804567,31589839,31283579,31816933,32821799,35778573,18593421,30005266,35345138,39246212
Denver,39.7392364,-104.984862,[Denver International: DEN],25496885,26000591,26280043,28267394,29809097,31362941,33592945,16243216,28645527,33773832,37863967
Houston,29.7589382,-95.3676974,"[George Bush Intercontinental/Houston: IAH], [William P Hobby: HOU]",24329890,25572813,26533871,26347253,26142707,28211284,28974923,11809736,21803601,26277000,29029164
Orlando,28.5421218,-81.379045,[Orlando International: MCO],16884524,17278608,18759938,20283541,21565448,23202480,24562271,10467728,19618838,24469733,28033205
Las Vegas,36.1674263,-115.1484131,"[Harry Reid International: LAS], [Henderson Executive: HND], [North Las Vegas: VGT]",19946179,20647203,21926678,22896712,23364393,23795012,24728361,10584059,19160342,25480500,27896199
Charlotte,35.2272086,-80.8430827,[Charlotte/Douglas International: CLT],21346601,21537725,21913166,21511880,22011251,22281949,24199688,12952869,20900875,23100300,25896224
Miami,25.7741566,-80.1935973,[Miami International: MIA],19420089,19471466,20986349,20875813,20709225,21021640,21421031,8786007,17500096,23949892,24717048
Seattle,47.6038321,-122.330062,"[Seattle-Tacoma International: SEA], [Boeing Field/King County International: BFI]",16703303,17908498,20167925,21904905,22656418,24043494,25032330,9477172,17447969,22179579,24621656
Newark,40.735657,-74.1723667,[Newark Liberty International: EWR],17546506,17773405,18684818,19923009,21571198,22797602,23160763,7985474,14514049,21774690,24575320
San Francisco,37.7879363,-122.4075201,[San Francisco International: SFO],21704626,22770783,24190560,25707101,26900048,27790717,27779230,7745057,11725347,20411420,24191159
Phoenix,33.4484367,-112.074141,[Phoenix Sky Harbor International: PHX],19525109,20344867,21351504,20896265,21185458,21622580,22433552,10531436,18940287,21852586,23880504
Boston,42.3588336,-71.0578303,[General Edward Lawrence Logan International: BOS],14810153,15507561,16290362,17759044,18759742,20006521,20699377,6035452,10909817,17443775,19962678
Fort Lauderdale,26.1223084,-80.1433786,"[Fort Lauderdale/Hollywood International: FLL], [Fort Lauderdale Executive: FXE]",11538140,12031860,13061632,14263270,15817043,17612331,17958375,8019840,13607891,15380067,17073688
Minneapolis,44.9772995,-93.2654692,[Minneapolis-St Paul International/Wold-Chamberlain: MSP],16280835,16972678,17634273,18123844,18409704,18361942,19192917,7069720,12211409,15242089,17019128
Detroit,42.3315509,-83.0466403,"[Detroit Metropolitan Wayne County: DTW], [Willow Run: YIP]",15683523,15775941,16259565,16847135,17036092,17440824,18143040,6822324,11517696,13751197,15378601
Philadelphia,39.9527237,-75.1635262,[Philadelphia International: PHL],14727945,14792339,15101349,14564419,14271243,15292670,16006389,5753239,9820222,12421168,13658669
